Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
1.401905537,13.55894,8.404999,-7.895314,-0.6812544,0.7483124,-0.4708184,25.05895,27.65196,-9.728341,882.6721
1.421728611,-40.68306,113.5634,-7.71176,-0.6013387,0.6071799,-0.4585111,25.05895,27.65196,-9.728341,882.6721
1.441546917,139.8538,-68.12206,-1.899224,0.137543,0.4696383,-1.792393,25.05895,27.65196,-9.728341,882.6721
1.461369514,-5.621925,219.6055,64.11896,0.5573545,-0.4064895,-2.282032,13.18108,24.66906,-0.2895007,882.6721
1.481192112,-567.5341,1930.124,-506.1215,13.97806,5.786366,-15.73996,13.18108,24.66906,-0.2895007,882.6721
1.501015186,-677.3259,1930.124,-26.31188,-0.4279321,-3.420211,-15.70398,1.833275,6.760578,48.31723,882.6634
1.520837307,-114.4173,-291.1051,3.179098,-1.611893,-2.714105,-3.136395,1.833275,6.760578,48.31723,882.6634
1.540659904,733.6511,-53.62964,-24.72108,1.373952,1.841571,2.801976,1.833275,6.760578,48.31723,882.6686
1.560482502,169.1855,-109.4785,-32.30797,-0.1049772,-0.1667714,-1.055624,-3.039955,-8.253103,41.08718,882.6686
1.580304623,512.8843,-302.0038,-4.101869,0.07928552,-0.1768242,2.735644,-3.039955,-8.253103,41.08718,882.6686
1.600127697,30.18651,437.6988,-31.45138,3.23642,1.126057,2.98129,4.561504,18.62812,6.338596,882.6669
1.619950294,-251.3612,-239.3801,58.79589,-0.7517693,-0.1786502,0.1626818,4.561504,18.62812,6.338596,882.6669
1.639768600,241.1138,-116.1356,18.59762,1.152418,-0.107914,1.547942,4.561504,18.62812,6.338596,882.6669
1.662069321,-57.68428,-36.13269,-7.283468,0.421535,0.3878332,-1.197311,-4.71907,20.57615,5.614538,882.6617
1.681891441,-192.3863,-36.25051,-1.348562,-1.162424,0.9178254,-0.4185174,-4.71907,20.57615,5.614538,882.6617
1.701714992,60.14105,79.15865,-133.4461,1.183558,1.145,5.822852,-2.960209,29.36052,6.293894,882.6617
1.721537113,-113.8568,-15.27774,2.689621,0.4173472,0.516579,0.5433518,-2.960209,29.36052,6.293894,882.6634
1.741359711,89.34828,-62.81996,51.39256,-1.953001,-4.702961,-3.97975,-5.286835,-3.191364,2.316845,882.6634
1.761182308,-31.03035,22.7796,0.6705295,-1.074252,3.362285,-3.070939,-5.286835,-3.191364,2.316845,882.6634
1.781004429,-154.0245,171.7099,5.137005,-0.8842359,-1.553986,-0.7546023,-5.286835,-3.191364,2.316845,882.6634
1.800827503,487.1645,-23.58437,7.523204,0.2330024,3.031881,4.33473,-6.342278,35.29201,5.818153,882.6634
1.820650101,-96.54423,-19.63725,30.52861,-0.4434424,2.374318,-0.03080529,-6.342278,35.29201,5.818153,882.6634
1.840468407,-322.3554,-30.65385,-11.81113,-2.023047,0.5215422,-0.1099365,-5.592264,36.02018,6.661931,882.6634
1.860291004,-73.1909,7.108928,4.463974,-0.9957798,0.5035751,0.8186182,-5.592264,36.02018,6.661931,882.6634
1.880113602,-106.9442,-133.5147,18.6588,1.70638,1.005312,3.441223,-5.592264,36.02018,6.661931,882.6634
1.899936676,-148.7311,179.2506,2.444883,1.228026,0.5687704,0.9796295,-9.00625,28.07458,12.72379,882.6634
1.919758797,402.0961,1930.124,-571.4666,11.5095,-1.28123,-7.574165,-9.00625,28.07458,12.72379,882.6652
1.942059517,-329.7039,1930.124,-230.3013,3.871178,-1.356809,-15.71452,-26.93254,27.2942,45.09026,882.6652
1.961881638,-80.60168,748.3433,82.35197,-4.787455,0.9897427,-7.433267,-26.93254,27.2942,45.09026,882.6582
1.981704235,112.5771,-16.27925,11.62257,1.29006,-0.9126054,1.593352,-26.93254,27.2942,45.09026,882.6582
2.001527309,334.7762,100.1314,-49.86795,0.454596,-0.1085614,-0.5210783,-2.107597,28.30391,10.09375,882.6582
2.021349907,-27.35609,-40.78676,11.80613,-0.1199189,0.2981721,-1.192203,-2.107597,28.30391,10.09375,882.6582
2.041168213,-54.88189,31.67535,16.82326,0.1486241,-0.5234399,-1.221794,30.88014,24.61396,-12.77661,882.66
2.060990810,3.968509,-11.15388,-1.776854,0.1209108,-0.1352952,-1.633193,30.88014,24.61396,-12.77661,882.66
2.080813408,131.6957,94.53476,-13.21837,-0.3659635,-0.2429517,-1.93133,30.88014,24.61396,-12.77661,882.66
2.100636482,-135.0305,-140.8787,30.40624,-0.05192322,-0.7840158,0.0482292,22.01661,30.60476,-10.15731,882.66
2.120458603,89.90876,131.0015,-11.26047,-0.1983406,0.3732525,-1.56221,22.01661,30.60476,-10.15731,882.66
2.140281200,-7.926121,21.95482,-6.855175,-0.4098208,0.3171963,-1.173821,22.15563,31.76417,-4.764512,882.66
2.160103798,65.43447,2.160296,3.423836,-0.2666534,0.5016254,-1.138291,22.15563,31.76417,-4.764512,882.66
2.179926872,-7.178814,-34.30641,13.27456,-0.733093,-1.571858,-2.467863,22.15563,31.76417,-4.764512,882.66
2.199748993,-30.28304,257.1327,-2.205146,-2.822351,0.7101098,0.01348765,33.76165,26.20877,-27.18094,882.6566
2.222049713,-93.05679,-125.1492,-8.445976,0.6190881,-0.1432946,0.1029979,33.76165,26.20877,-27.18094,882.6566
2.241868019,-90.50349,97.36255,8.930449,-1.027019,-0.4761404,-2.702151,10.96766,21.43061,0.2479405,882.6602
2.261690617,-70.76215,-26.70672,2.261329,0.07508568,0.2325913,-1.370295,10.96766,21.43061,0.2479405,882.6602
2.281512737,-102.3981,150.0301,19.39302,-0.2835999,0.1644388,-1.539924,10.96766,21.43061,0.2479405,882.6619
2.301336289,28.81645,-47.62059,-9.730853,0.5196321,0.2389043,0.07390463,25.04288,26.91284,-10.58635,882.6619
2.321158409,89.41056,-2.788336,-0.06368566,-0.4326835,0.1697218,-1.088007,25.04288,26.91284,-10.58635,882.6619
2.340981007,77.14227,71.02876,-5.509115,0.7662416,0.03618896,-1.707043,13.56439,24.30478,0.1452966,882.6619
2.360803604,1510.539,1382.888,-263.0963,3.190315,2.978219,5.915846,13.56439,24.30478,0.1452966,882.6636
2.380626679,-118.7143,1930.124,-206.2558,2.920548,-2.394457,-15.70723,13.56439,24.30478,0.1452966,882.6636
2.400448799,4.964918,1736.361,68.7078,-3.83803,1.416181,-9.977425,3.797245,5.692142,52.46899,882.6584
2.420271397,296.3522,-127.918,5.259374,-0.2322711,-2.959438,4.483617,3.797245,5.692142,52.46899,882.6584
2.440089703,-8.984805,76.33086,-37.26392,-0.476561,-0.2711493,-4.016065,2.596102,-13.42933,41.50505,882.6602
2.459912300,505.0375,111.2658,-4.958453,1.243222,0.204988,5.073079,2.596102,-13.42933,41.50505,882.6602
2.479735374,499.6819,78.21606,-5.203192,0.5913374,-0.9293995,-0.7687293,2.596102,-13.42933,41.50505,882.6602
2.502035618,-154.7096,310.625,-17.56248,0.4745928,0.04719596,-2.238397,3.819527,18.26952,5.923825,882.6602
2.521858215,101.7411,-231.7215,27.71412,0.836254,-1.425574,4.796753,3.819527,18.26952,5.923825,882.6602
2.541680813,-211.6917,-11.62518,-33.40929,0.01230763,-0.7092983,0.2946768,-5.069973,21.32075,6.479668,882.6602
2.561502933,-370.868,-48.85775,-4.163054,0.5464969,-0.03938819,-0.05489183,-5.069973,21.32075,6.479668,882.6602
2.581326485,445.8758,-212.3982,43.13264,0.1002559,2.846651,5.780321,-5.069973,21.32075,6.479668,882.6602
2.601148605,-84.21367,93.35651,12.60153,-2.047509,0.2072611,-3.731958,-2.617615,29.34428,5.415856,882.6619
2.620971203,-246.0678,-49.6236,29.91677,-0.6684965,0.1433131,-0.8168934,-2.617615,29.34428,5.415856,882.6619
2.640789509,-224.1468,41.69044,-113.4387,1.616591,-0.9152744,4.568774,-4.928171,-2.468484,2.296819,882.6636
2.660612106,-352.4345,-167.3304,15.53839,-0.9213998,1.238563,-0.6140682,-4.928171,-2.468484,2.296819,882.6636
2.680435181,142.2202,-92.80631,-9.914407,0.4934861,1.447647,4.050145,-4.928171,-2.468484,2.296819,882.6636
2.700257778,-93.49272,383.7941,-52.49889,0.219112,1.994288,-1.06802,-5.581818,36.02479,7.035182,882.6636
2.720079899,-597.7378,-94.63259,18.16932,1.93876,-1.71301,-0.2941794,-5.581818,36.02479,7.035182,882.6636
2.739902496,-94.86279,-3.082897,-8.384791,0.6763341,0.3947547,3.055897,-5.608606,36.37897,6.220016,882.6636
2.759725571,369.5882,320.699,-7.589391,-1.683037,1.743311,1.36719,-5.608606,36.37897,6.220016,882.6655
2.782025337,-232.3672,131.4728,16.82326,0.7278488,-2.062046,-0.804628,-7.907747,28.42309,12.75819,882.6655
2.801848412,242.3593,633.4644,35.42338,2.772726,-4.018411,-2.488654,-7.907747,28.42309,12.75819,882.6639
2.821671009,-185.0378,1930.006,-254.4081,9.067648,-4.059813,-15.72573,-7.907747,28.42309,12.75819,882.6639
2.841489315,-57.93339,1924.115,49.2511,-10.15496,1.86433,-15.68306,-26.85056,24.40228,46.88374,882.6586
2.861311913,-164.9228,-161.3213,42.27605,-0.06202015,-1.426062,-0.5817518,-26.85056,24.40228,46.88374,882.6586
2.881134987,142.843,-164.9149,-6.610437,0.789138,0.5068345,3.522502,5.668438,20.0784,7.100139,882.6586
2.900957584,80.56743,34.20858,-6.488068,-0.6433738,0.9619908,-2.47839,5.668438,20.0784,7.100139,882.6586
2.920779705,-96.29512,-2.434862,5.626482,0.4065768,-0.6368015,-0.3670954,5.668438,20.0784,7.100139,882.6622
2.940602303,-93.05679,-3.907669,2.567252,-0.4972323,1.023017,-1.203037,30.90424,25.72264,-11.48959,882.6622
2.960424900,-36.88425,96.36104,-8.140053,0.03863504,0.4042286,-1.695414,30.90424,25.72264,-11.48959,882.6622
2.980247974,-62.41722,-23.82002,-2.205146,0.05206153,-0.1094445,-1.033496,22.77734,30.23962,-9.356375,882.6639
3.000070095,88.10278,21.66026,-0.92027,-0.5387161,-0.7041673,-1.011366,22.77734,30.23962,-9.356375,882.6639
3.019892693,62.44525,53.88528,7.523204,-0.4582121,0.1942297,-1.350376,22.77734,30.23962,-9.356375,882.6639
3.039710999,40.58653,-18.16444,-2.205146,0.2367008,-0.06006798,-1.197711,22.16366,32.13373,-4.335505,882.6639
3.062011719,-167.4138,-85.91357,-3.673577,0.5322186,1.091688,-1.212139,22.16366,32.13373,-4.335505,882.6639
3.081834793,-21.87584,38.21461,4.341605,1.080144,-1.22818,-1.585765,34.11845,25.10076,-27.97741,882.6639
3.101656914,-82.46996,-96.6356,13.15219,-0.4175978,0.9916734,0.4278184,34.11845,25.10076,-27.97741,882.6622
3.121479511,163.2071,112.2674,-27.47438,0.08458039,0.285319,-0.9910678,34.11845,25.10076,-27.97741,882.6622
3.141302109,-6.182405,-1.61009,16.76208,1.00557,-0.3182328,-0.4140652,10.94301,22.51777,-0.2068825,882.6622
3.161124706,-37.13335,-4.43788,-3.306469,-0.04035163,0.06064644,-1.837355,10.94301,22.51777,-0.2068825,882.6622
3.180947781,30.74699,108.4381,-7.956499,-0.5609371,-0.01183679,-0.1117214,25.03873,27.27702,-10.59281,882.6622
3.200769901,55.96859,5.812858,-7.528206,0.5608281,0.02643434,-0.4567159,25.03873,27.27702,-10.59281,882.6622
3.220592499,64.18896,-4.143318,-6.610437,-0.5519045,0.2876116,-2.09866,25.03873,27.27702,-10.59281,882.6622
3.240410805,14.1817,231.3291,80.21051,0.9184068,-2.354106,-2.102241,13.93136,24.2993,0.1381783,882.6622
3.260233879,-488.5688,1927.649,-495.8425,13.87289,6.717751,-15.73999,13.93136,24.2993,0.1381783,882.6622
3.280056477,-701.1775,1930.124,-31.69612,-0.1632221,-2.190564,-15.70496,0.2299118,3.989976,57.67473,882.6622
3.299879074,-115.7874,-77.96041,-15.97168,-4.261559,-2.641702,-4.880085,0.2299118,3.989976,57.67473,882.6569
3.319701195,726.1781,-148.3017,-46.99227,2.990929,1.247766,5.191327,0.2299118,3.989976,57.67473,882.6569
3.342001915,246.9054,-168.3908,11.43902,0.3049647,-0.08060337,-0.7386265,1.03351,-8.325047,40.13678,882.655
3.361824036,587.0545,-128.5072,-34.5718,1.00037,2.17541,3.70541,1.03351,-8.325047,40.13678,882.655
3.381647110,-270.7912,297.8411,-71.16019,0.2796526,0.01921865,0.5826041,3.427908,19.36216,5.47612,882.655
3.401469708,-431.0885,-183.7669,61.61039,-0.3386162,-0.7043964,-0.4027059,3.427908,19.36216,5.47612,882.655
3.421292305,257.2431,-153.7805,-12.42297,1.150643,0.4898266,3.77212,3.427908,19.36216,5.47612,882.65
3.441110611,-297.6942,10.99714,9.481111,-0.9581825,1.958903,-3.157471,-5.781281,21.3417,7.302617,882.65
3.460933208,-108.3143,-9.975634,5.07582,-1.319149,-0.8459786,-1.097633,-5.781281,21.3417,7.302617,882.65
3.480756283,-87.2029,139.8972,-69.01872,0.7620536,1.997028,2.248813,-2.23403,27.88208,5.434555,882.65
3.500578880,-241.8953,-28.47409,9.542295,0.1958678,0.09714362,0.126412,-2.23403,27.88208,5.434555,882.6518
3.520401001,659.3564,-277.9676,7.033728,0.1264964,-3.584588,1.310938,-2.23403,27.88208,5.434555,882.6518
3.540223598,-144.4341,209.237,-50.66335,2.251549,0.7269661,-0.9880626,-3.468594,-1.762042,2.25544,882.6535
3.560046673,27.13501,-41.14024,-4.101869,0.6440158,-1.130504,-0.4718929,-3.468594,-1.762042,2.25544,882.6535
3.579869270,179.0874,-131.9241,-45.2791,1.227582,3.75333,5.013653,-5.585972,36.38897,7.028729,882.6518
3.599691391,-326.0919,16.82945,-61.9825,-1.27287,1.593426,-3.098694,-5.585972,36.38897,7.028729,882.6518
3.621992111,-377.8429,107.8489,11.5002,-0.5635344,-3.129036,-2.534361,-5.924414,36.04103,7.913223,882.6535
3.641810417,-100.1562,-151.7186,18.6588,0.9387727,0.2350895,3.289984,-5.924414,36.04103,7.913223,882.6535
3.661633015,-113.1718,-47.26711,24.77726,-0.4941224,0.9271181,0.3849159,-5.924414,36.04103,7.913223,882.6535
3.681456089,-244.3241,117.3927,7.890312,1.348553,-1.109952,0.6111133,-9.371477,28.08082,12.79312,882.6535
3.701278210,-391.3567,1924.822,-674.3791,14.2795,2.675396,-15.73975,-9.371477,28.08082,12.79312,882.6535
3.721100807,-361.6512,1930.124,-261.1384,3.963279,-1.955426,-15.71456,-23.17537,19.86884,43.09517,882.6535
3.740923405,-109.6844,748.8735,88.47043,-5.930284,1.108122,-6.716188,-23.17537,19.86884,43.09517,882.6431
3.760746479,85.73631,75.0937,5.137005,1.11302,-0.4813728,0.8456405,-23.17537,19.86884,43.09517,882.6431
